Match ID,Data Set 1,Data Set 2,Status,label,y_pred,y_pred_label
1,JP/232400001,1,Partial Matched,1,1,Partial Match
2,OMPL/003/2018-19,3,Partial Matched,1,1,Partial Match
3,JP/222300006,6,Partial Matched,1,1,Partial Match
4,JP/222300007,7,Partial Matched,1,1,Partial Match
5,JP/222300008,8,Partial Matched,1,1,Partial Match
6,JP/222300009,9,Partial Matched,1,1,Partial Match
7,JP/222300010,10,Partial Matched,1,1,Partial Match
8,JP/222300011,11,Partial Matched,1,1,Partial Match
9,JP/222300012,12,Partial Matched,1,1,Partial Match
10,OMPL/013/2018-19,13,Partial Matched,1,1,Partial Match
11,OMPL/013,13,Partial Matched,1,2,Exact Match
12,14,14,Exact Matched,2,2,Exact Match
13,OMPL/018/2018-19,18,Partial Matched,1,1,Partial Match
14,23,23,Exact Matched,2,2,Exact Match
15,OMPL/17-18/S/24,24,Partial Matched,1,1,Partial Match
16,JP/232400027,27,Partial Matched,1,1,Partial Match
17,JP/232400028,28,Partial Matched,1,1,Partial Match
18,JP/232400029,29,Partial Matched,1,1,Partial Match
19,029/2023-24,29,Partial Matched,1,1,Partial Match
20,030/2023-24,30,Partial Matched,1,1,Partial Match
21,032/2023-24,32,Partial Matched,1,1,Partial Match
22,JP/232400032,32,Partial Matched,1,1,Partial Match
23,JP/232400033,33,Partial Matched,1,1,Partial Match
24,JP/232400036,36,Partial Matched,1,1,Partial Match
25,JP/222300039,39,Partial Matched,1,1,Partial Match
26,JP/222300040,40,Partial Matched,1,1,Partial Match
27,JP/222300041,41,Partial Matched,1,1,Partial Match
28,JP/222300042,42,Partial Matched,1,1,Partial Match
29,JP/222300043,43,Partial Matched,1,1,Partial Match
30,JP/222300044,44,Partial Matched,1,1,Partial Match
31,JP/222300045,45,Partial Matched,1,1,Partial Match
32,JP/222300046,46,Partial Matched,1,1,Partial Match
33,JP/222300047,47,Partial Matched,1,1,Partial Match
34,JP/222300048,48,Partial Matched,1,1,Partial Match
35,JP/232400050,50,Partial Matched,1,1,Partial Match
36,JP/232400051,51,Partial Matched,1,1,Partial Match
37,JP/222300053,53,Partial Matched,1,1,Partial Match
38,OMPL/057,57,Partial Matched,1,2,Exact Match
39,JP/232400059,59,Partial Matched,1,1,Partial Match
40,059/2023-24,59,Partial Matched,1,1,Partial Match
41,JP/232400060,60,Partial Matched,1,1,Partial Match
42,OMPL/ANGUL/060,60,Partial Matched,1,2,Exact Match
43,JP/232400061,61,Partial Matched,1,1,Partial Match
44,JP/232400062,62,Partial Matched,1,1,Partial Match
45,JP/232400063,63,Partial Matched,1,1,Partial Match
46,JP/232400064,64,Partial Matched,1,1,Partial Match
47,JP/232400065,65,Partial Matched,1,1,Partial Match
48,JP/222300067,67,Partial Matched,1,1,Partial Match
49,JP/222300068,68,Partial Matched,1,1,Partial Match
50,JP/222300069,69,Partial Matched,1,1,Partial Match
51,JP/222300070,70,Partial Matched,1,1,Partial Match
52,JP/222300071,71,Partial Matched,1,1,Partial Match
53,JP/222300072,72,Partial Matched,1,1,Partial Match
54,JP/222300073,73,Partial Matched,1,1,Partial Match
55,JP/222300074,74,Partial Matched,1,1,Partial Match
56,JP/222300076,76,Partial Matched,1,1,Partial Match
57,JP/232400077,77,Partial Matched,1,1,Partial Match
58,JP/232400078,78,Partial Matched,1,1,Partial Match
59,OMPL/ANGUL/080,80,Partial Matched,1,2,Exact Match
60,OMPL/ANGUL/086,86,Partial Matched,1,2,Exact Match
61,JP/232400093,93,Partial Matched,1,1,Partial Match
62,JP/232400098,98,Partial Matched,1,1,Partial Match
63,JP/232400102,102,Partial Matched,1,1,Partial Match
64,JP/232400103,103,Partial Matched,1,1,Partial Match
65,JP/232400104,104,Partial Matched,1,1,Partial Match
66,106/2023-24,106,Partial Matched,1,1,Partial Match
67,108/2023-24,108,Partial Matched,1,1,Partial Match
68,108/OMPL/2019-20,108,Partial Matched,1,1,Partial Match
69,OMPL/110/2018-19,110,Partial Matched,1,1,Partial Match
70,JP/232400112,112,Partial Matched,1,1,Partial Match
71,JP/222300112,112,Partial Matched,1,1,Partial Match
72,112/2023-24,112,Partial Matched,1,1,Partial Match
73,JP/222300113,113,Partial Matched,1,1,Partial Match
74,JP/222300114,114,Partial Matched,1,1,Partial Match
75,JP/222300115,115,Partial Matched,1,1,Partial Match
76,JP/222300116,116,Partial Matched,1,1,Partial Match
77,0116/23-24,0116,Partial Matched,1,1,Partial Match
78,JP/222300117,117,Partial Matched,1,1,Partial Match
79,122/OMPL/JSPL,120,Partial Matched,1,1,Partial Match
80,JP/222300122,122,Partial Matched,1,1,Partial Match
81,JP/222300123,123,Partial Matched,1,1,Partial Match
82,JP/232400124,124,Partial Matched,1,1,Partial Match
83,JP/222300124,124,Partial Matched,1,1,Partial Match
84,JP/232400125,125,Partial Matched,1,1,Partial Match
85,JP/222300125,125,Partial Matched,1,1,Partial Match
86,JP/232400126,126,Partial Matched,1,1,Partial Match
87,JP/232400127,127,Partial Matched,1,1,Partial Match
88,129,129,Exact Matched,2,2,Exact Match
89,132,132,Exact Matched,2,2,Exact Match
90,133/2023-24,133,Partial Matched,1,1,Partial Match
91,JP/232400133,133,Partial Matched,1,1,Partial Match
92,JP/232400134,134,Partial Matched,1,1,Partial Match
93,134,134,Exact Matched,2,2,Exact Match
94,JP/232400135,135,Partial Matched,1,1,Partial Match
95,JP/232400136,136,Partial Matched,1,1,Partial Match
96,JP/232400137,137,Partial Matched,1,1,Partial Match
97,JP/232400138,138,Partial Matched,1,1,Partial Match
98,JP/232400140,140,Partial Matched,1,1,Partial Match
99,144,144,Exact Matched,2,2,Exact Match
100,146/OMPL/2018-19,146,Partial Matched,1,2,Exact Match
101,JP/232400155,155,Partial Matched,1,1,Partial Match
102,JP/232400156,156,Partial Matched,1,1,Partial Match
103,JP/232400157,157,Partial Matched,1,1,Partial Match
104,JP/232400163,163,Partial Matched,1,1,Partial Match
105,JP/222300164,164,Partial Matched,1,1,Partial Match
106,JP/232400165,165,Partial Matched,1,1,Partial Match
107,JP/222300165,165,Partial Matched,1,1,Partial Match
108,JP/232400166,166,Partial Matched,1,1,Partial Match
109,JP/222300166,166,Partial Matched,1,1,Partial Match
110,JP/232400167,167,Partial Matched,1,1,Partial Match
111,JP/222300167,167,Partial Matched,1,1,Partial Match
112,JP/232400168,168,Partial Matched,1,1,Partial Match
113,0168/23-24,0168,Partial Matched,1,1,Partial Match
114,168,168,Exact Matched,2,2,Exact Match
115,JP/222300170,170,Partial Matched,1,1,Partial Match
116,171/2023-24,171,Partial Matched,1,1,Partial Match
117,171,171,Exact Matched,2,2,Exact Match
118,JP/222300172,172,Partial Matched,1,1,Partial Match
119,172/2023-24,172,Partial Matched,1,1,Partial Match
120,JP/222300173,173,Partial Matched,1,1,Partial Match
121,JP/232400180,180,Partial Matched,1,1,Partial Match
122,JP/232400181,181,Partial Matched,1,1,Partial Match
123,OMPL/182/2018-19,182,Partial Matched,1,1,Partial Match
124,JP/232400186,186,Partial Matched,1,1,Partial Match
125,JP/232400187,187,Partial Matched,1,1,Partial Match
126,JP/232400190,190,Partial Matched,1,1,Partial Match
127,JP/222300190,190,Partial Matched,1,1,Partial Match
128,JP/232400191,191,Partial Matched,1,1,Partial Match
129,JP/222300191,191,Partial Matched,1,1,Partial Match
130,JP/222300192,192,Partial Matched,1,1,Partial Match
131,JP/222300193,193,Partial Matched,1,1,Partial Match
132,JP/222300194,194,Partial Matched,1,1,Partial Match
133,JP/232400194,194,Partial Matched,1,1,Partial Match
134,JP/232400195,195,Partial Matched,1,1,Partial Match
135,JP/222300196,196,Partial Matched,1,1,Partial Match
136,JP/222300197,197,Partial Matched,1,1,Partial Match
137,JP/22230198,198,Partial Matched,1,1,Partial Match
138,JP/222300201,201,Partial Matched,1,1,Partial Match
139,JP/222300202,202,Partial Matched,1,1,Partial Match
140,202-A/2023-24,202,Partial Matched,1,1,Partial Match
141,205/2023-24,205,Partial Matched,1,1,Partial Match
142,208/2023-24,208,Partial Matched,1,1,Partial Match
143,JP/222300210,210,Partial Matched,1,1,Partial Match
144,210/2023-24,210,Partial Matched,1,1,Partial Match
145,JP/232400211,211,Partial Matched,1,1,Partial Match
146,211/2023-24,211,Partial Matched,1,1,Partial Match
147,JP/232400212,212,Partial Matched,1,1,Partial Match
148,JP/232400213,213,Partial Matched,1,1,Partial Match
149,JP/232400214,214,Partial Matched,1,1,Partial Match
150,JP/222300215,215,Partial Matched,1,1,Partial Match
151,JP/232400215,215,Partial Matched,1,1,Partial Match
152,JP/232400216,216,Partial Matched,1,1,Partial Match
153,JP/222300222,222,Partial Matched,1,1,Partial Match
154,JP/222300223,223,Partial Matched,1,1,Partial Match
155,JP/222300224,224,Partial Matched,1,1,Partial Match
156,JP/222300225,225,Partial Matched,1,1,Partial Match
157,JP/222300226,226,Partial Matched,1,1,Partial Match
158,JP/222300227,227,Partial Matched,1,1,Partial Match
159,JP/222300228,228,Partial Matched,1,1,Partial Match
160,JP/222300229,229,Partial Matched,1,1,Partial Match
161,JP/222300230,230,Partial Matched,1,1,Partial Match
162,JP/222300231,231,Partial Matched,1,1,Partial Match
163,JP/232400235,235,Partial Matched,1,1,Partial Match
164,JP/232400236,236,Partial Matched,1,1,Partial Match
165,JP/232400237,237,Partial Matched,1,1,Partial Match
166,JP/222300237,237,Partial Matched,1,1,Partial Match
167,JP/232400239,239,Partial Matched,1,1,Partial Match
168,JP/232400240,240,Partial Matched,1,1,Partial Match
169,241/2023-24,241,Partial Matched,1,1,Partial Match
170,256,256,Exact Matched,2,2,Exact Match
171,JP/232400257,257,Partial Matched,1,1,Partial Match
172,JP/222300257,257,Partial Matched,1,1,Partial Match
173,JP/222300258,258,Partial Matched,1,1,Partial Match
174,JP/222300259,259,Partial Matched,1,1,Partial Match
175,JP/232400259,259,Partial Matched,1,1,Partial Match
176,JP/232400260,260,Partial Matched,1,1,Partial Match
177,JP/232400261,261,Partial Matched,1,1,Partial Match
178,JP/232400262,262,Partial Matched,1,1,Partial Match
179,JP/222300264,264,Partial Matched,1,1,Partial Match
180,JP/222300265,265,Partial Matched,1,1,Partial Match
181,JP/222300266,266,Partial Matched,1,1,Partial Match
182,JP/222300267,267,Partial Matched,1,1,Partial Match
183,JP/222300268,268,Partial Matched,1,1,Partial Match
184,JP/222300269,269,Partial Matched,1,1,Partial Match
185,JP/222300270,270,Partial Matched,1,1,Partial Match
186,270/2023-24,270,Partial Matched,1,1,Partial Match
187,JP/232400272,272,Partial Matched,1,1,Partial Match
188,0272/23-24,0272,Partial Matched,1,1,Partial Match
189,JP/232400278,278,Partial Matched,1,1,Partial Match
190,JP/232400279,279,Partial Matched,1,1,Partial Match
191,283,283,Exact Matched,2,2,Exact Match
192,JP/232400285,285,Partial Matched,1,1,Partial Match
193,285/2023-24,285,Partial Matched,1,1,Partial Match
194,286/2023-24,286,Partial Matched,1,1,Partial Match
195,287/2023-24,287,Partial Matched,1,1,Partial Match
196,JP/232400289,289,Partial Matched,1,1,Partial Match
197,289/2023-24,289,Partial Matched,1,1,Partial Match
198,JP/222300289,289,Partial Matched,1,1,Partial Match
199,JP/222300290,290,Partial Matched,1,1,Partial Match
200,JP/232400290,290,Partial Matched,1,1,Partial Match
201,290/2023-24,290,Partial Matched,1,1,Partial Match
202,JP/222300291,291,Partial Matched,1,1,Partial Match
203,JP/232400291,291,Partial Matched,1,1,Partial Match
204,291/2023-24,291,Partial Matched,1,1,Partial Match
205,JP/232400292,292,Partial Matched,1,1,Partial Match
206,JP/222300292,292,Partial Matched,1,1,Partial Match
207,292/2023-24,292,Partial Matched,1,1,Partial Match
208,JP/232400293,293,Partial Matched,1,1,Partial Match
209,JP/232400294,294,Partial Matched,1,1,Partial Match
210,294/2023-24,294,Partial Matched,1,1,Partial Match
211,295,295,Exact Matched,2,2,Exact Match
212,296,296,Exact Matched,2,2,Exact Match
213,JP/232400298,298,Partial Matched,1,1,Partial Match
214,JP/222300298,298,Partial Matched,1,1,Partial Match
215,JP/222300299,299,Partial Matched,1,1,Partial Match
216,JP/232400299,299,Partial Matched,1,1,Partial Match
217,300/2023-24,300,Partial Matched,1,1,Partial Match
218,301,301,Exact Matched,2,2,Exact Match
219,0303/23-24,0303,Partial Matched,1,1,Partial Match
220,304/2023-24,304,Partial Matched,1,1,Partial Match
221,JP/222300308,308,Partial Matched,1,1,Partial Match
222,JP/222300309,309,Partial Matched,1,1,Partial Match
223,JP/222300313,313,Partial Matched,1,1,Partial Match
224,JP/232400313,313,Partial Matched,1,1,Partial Match
225,JP/232400314,314,Partial Matched,1,1,Partial Match
226,JP/222300314,314,Partial Matched,1,1,Partial Match
227,JP/222300315,315,Partial Matched,1,1,Partial Match
228,JP/232400318,318,Partial Matched,1,1,Partial Match
229,JP/232400320,320,Partial Matched,1,1,Partial Match
230,JP/232400321,321,Partial Matched,1,1,Partial Match
231,JP/232400322,322,Partial Matched,1,1,Partial Match
232,JP/232400323,323,Partial Matched,1,1,Partial Match
233,JP/232400324,324,Partial Matched,1,1,Partial Match
234,JP/232400325,325,Partial Matched,1,1,Partial Match
235,JP/222300328,328,Partial Matched,1,1,Partial Match
236,JP/222300329,329,Partial Matched,1,1,Partial Match
237,332/2023-24,332,Partial Matched,1,1,Partial Match
238,0333/23-24,0333,Partial Matched,1,1,Partial Match
239,JP/232400338,338,Partial Matched,1,1,Partial Match
240,JP/222300339,339,Partial Matched,1,1,Partial Match
241,JP/222300340,340,Partial Matched,1,1,Partial Match
242,JP/232400341,341,Partial Matched,1,1,Partial Match
243,JP/222300345,345,Partial Matched,1,1,Partial Match
244,JP/232400347,347,Partial Matched,1,1,Partial Match
245,350/2023-24,350,Partial Matched,1,1,Partial Match
246,JP/222300351,351,Partial Matched,1,1,Partial Match
247,JP/222300352,352,Partial Matched,1,1,Partial Match
248,JP/222300353,353,Partial Matched,1,1,Partial Match
249,JP/222300354,354,Partial Matched,1,1,Partial Match
250,JP/222300355,355,Partial Matched,1,1,Partial Match
251,JP/232400374,374,Partial Matched,1,1,Partial Match
252,JP/232400375,375,Partial Matched,1,1,Partial Match
253,JP/232400376,376,Partial Matched,1,1,Partial Match
254,JP/222300377,377,Partial Matched,1,1,Partial Match
255,JP/232400377,377,Partial Matched,1,1,Partial Match
256,JP/232400378,378,Partial Matched,1,1,Partial Match
257,JP/222300378,378,Partial Matched,1,1,Partial Match
258,JP/232400379,379,Partial Matched,1,1,Partial Match
259,JP/222300379,379,Partial Matched,1,1,Partial Match
260,JP/232400380,380,Partial Matched,1,1,Partial Match
261,0380/23-24,0380,Partial Matched,1,1,Partial Match
262,JP/222300380,380,Partial Matched,1,1,Partial Match
263,JP/232400381,381,Partial Matched,1,1,Partial Match
264,JP/222300381,381,Partial Matched,1,1,Partial Match
265,0381/23-24,0381,Partial Matched,1,1,Partial Match
266,0382/23-24,0382,Partial Matched,1,1,Partial Match
267,JP/222300382,382,Partial Matched,1,1,Partial Match
268,0383/23-24,0383,Partial Matched,1,1,Partial Match
269,383/2023-24,383,Partial Matched,1,1,Partial Match
270,JP/222300383,383,Partial Matched,1,1,Partial Match
271,JP/222300384,384,Partial Matched,1,1,Partial Match
272,JP/222300388,388,Partial Matched,1,1,Partial Match
273,388/2023-24,388,Partial Matched,1,1,Partial Match
274,JP/222300389,389,Partial Matched,1,1,Partial Match
275,INV/23-24/0395,395,Partial Matched,1,1,Partial Match
276,JP/222300396,396,Partial Matched,1,1,Partial Match
277,397,397,Exact Matched,2,2,Exact Match
278,399,399,Exact Matched,2,2,Exact Match
279,403,403,Exact Matched,2,2,Exact Match
280,JP/232400404,404,Partial Matched,1,1,Partial Match
281,JP/232400405,405,Partial Matched,1,1,Partial Match
282,JP/232400406,406,Partial Matched,1,1,Partial Match
283,JP/222300406,406,Partial Matched,1,1,Partial Match
284,JP/222300407,407,Partial Matched,1,1,Partial Match
285,JP/222300408,408,Partial Matched,1,1,Partial Match
286,JP/222300413,413,Partial Matched,1,1,Partial Match
287,JP/232400413,413,Partial Matched,1,1,Partial Match
288,JP/232400414,414,Partial Matched,1,1,Partial Match
289,JP/232400415,415,Partial Matched,1,1,Partial Match
290,JP/232400416,416,Partial Matched,1,1,Partial Match
291,JP/232400417,417,Partial Matched,1,1,Partial Match
292,JP/222300419,419,Partial Matched,1,1,Partial Match
293,JP/222300420,420,Partial Matched,1,1,Partial Match
294,JP/222300421,421,Partial Matched,1,1,Partial Match
295,JP/222300424,424,Partial Matched,1,1,Partial Match
296,JP/222300428,428,Partial Matched,1,1,Partial Match
297,JP/222300429,429,Partial Matched,1,1,Partial Match
298,JP/222300430,430,Partial Matched,1,1,Partial Match
299,JP/222300431,431,Partial Matched,1,1,Partial Match
300,JP/222300432,432,Partial Matched,1,1,Partial Match
301,432/2023-24,432,Partial Matched,1,1,Partial Match
302,JP/222300433,433,Partial Matched,1,1,Partial Match
303,JP/232400433,433,Partial Matched,1,1,Partial Match
304,JP/232400434,434,Partial Matched,1,1,Partial Match
305,JP/232400435,435,Partial Matched,1,1,Partial Match
306,JP/232400436,436,Partial Matched,1,1,Partial Match
307,JP/232400437,437,Partial Matched,1,1,Partial Match
308,JP/222300437,437,Partial Matched,1,1,Partial Match
309,JP/222300438,438,Partial Matched,1,1,Partial Match
310,JP/222300439,439,Partial Matched,1,1,Partial Match
311,JP/232400440,440,Partial Matched,1,1,Partial Match
312,0441/23-24,0441,Partial Matched,1,1,Partial Match
313,JP/222300441,441,Partial Matched,1,1,Partial Match
314,JP/232400443,443,Partial Matched,1,1,Partial Match
315,445/2023-24,445,Partial Matched,1,1,Partial Match
316,446/2023-24,446,Partial Matched,1,1,Partial Match
