invoice1,invoice2,similarity_score_x,similarity_score_y,label
5514104810,5514104892,0.6687475161745501,,
5719101009,5719101588,0.6245490351869111,,
5514105044,5514105198,0.5876568769898601,,
B2064/23-24,210 /23-24,0.26473462834684774,,
B2855/23-24,SALES B - Bill # 000B2855,0.2762459612632396,,
B3017/23-24,SALES B - Bill # 000B3017,0.26248600679257317,,
B3666/23-24,SALES B - Bill # 000B3666,0.3223803258190243,,
B4798/23-24,SALES B - Bill # 000B4798,0.30758779261200453,,
B5015/23-24,JISL/2015/23,0.3459328682918012,,
B6395/23-24,SALES B - Bill # 000B6395,0.3028880406299742,,
A4413/23-24,2204413,0.25901478692395996,,
A7282/23-24,283 /23-24,0.25352218686510025,,
V0370/23-24,230370,0.25363504412964405,,
V0484/23-24,2210484,0.2641543636920629,,
V0577/23-24,2210577,0.27636738671750155,,
V0615/23-24,2220615,0.2645117494071658,,
V0761/23-24,2207615,0.2602800195348006,,
V1065/23-24,1065,0.28772373770886617,,
V1081/23-24,1081,0.2922962165365648,,
V1108/23-24,1108,0.2811728991045592,,
V1272/23-24,1272,0.30617408828869663,,
V1292/23-24,1292,0.30644713922154126,,
V1294/23-24,1294,0.32622114125863394,,
V1348/23-24,1348,0.2881098220059837,,
V1372/23-24,1372,0.32637609657821126,,
V1623/23-24,1623,0.30794723583810135,,
V1654/23-24,1654,0.3118779851918307,,
V1700/23-24,1700,0.2959045172809146,,
V1864/23-24,1864,0.2992681061429101,,
V1932/23-24,1932,0.29278476300724277,,
V1994/23-24,1994,0.3216797567452163,,
V2012/23-24,JISL/2012/231,0.39365164711005357,,
V2046/23-24,2046,0.2702048341794685,,
V2063/23-24,2063,0.27624066090652405,,
V2111/23-24,211 /23-24,0.34687346190829527,,
V2160/23-24,2160,0.288785864904231,,
V2238/23-24,2238,0.28354992492595305,,
V2270/23-24,2270,0.26803632493392826,,
V2397/23-24,2397,0.2718517642328765,,
V2438/23-24,2438,0.27277460523629493,,
V2762/23-24,2227624,0.2870709585577501,,
V2790/23-24,2790,0.3081756338646382,,
V2791/23-24,2791,0.3164796331726737,,
V2809/23-24,2809,0.31450909623646395,,
V2869/23-24,2232869,0.27383008399048303,,
V2919/23-24,2232919,0.28031535348819053,,
V3097/23-24,2213097,0.25975033537353875,,
V3131/23-24,2213131,0.26980806713395117,,
V3374/23-24,2233374,0.2864784544520112,,
V3612/23-24,2213612,0.2746183317062644,,
V3928/23-24,2213928,0.27510659444453633,,
V3971/23-24,2223971,0.2899137785613688,,
V4388/23-24,ABI2324388,0.2602894183271247,,
V4437/23-24,ABI2324437,0.2707872929494915,,
V4487/23-24,ABI2324487,0.2756881093512755,,
V4503/23-24,ABI2324503,0.29108738304484527,,
V4505/23-24,ABI2324505,0.28376017414098564,,
V4507/23-24,ABI2324507,0.2904392762640307,,
V4514/23-24,ABI2324514,0.29349654194614405,,
V4539/23-24,ABI2324539,0.2895307440375525,,
V4541/23-24,ABI2324541,0.28413313570821513,,
V4589/23-24,ABI2324589,0.27672309846017507,,
V4634/23-24,ABI2324634,0.2825633029597594,,
V4647/23-24,ABI2324647,0.2631949182119258,,
V4692/23-24,ABI2324692,0.28009457845523394,,
V4778/23-24,2214778,0.2722564822132701,,
V4824/23-24,ABI2324824,0.3248033581796081,,
V4846/23-24,ABI2324846,0.2618308730862434,,
V4955/23-24,ABI2324955,0.2691060603597079,,
V5124/23-24,ABI2325124,0.28788009353949995,,
V5160/23-24,ABI2325160,0.26421112723340134,,
V5557/23-24,TX1718155557,0.2864969907805205,,
V5931/23-24,ABI2325931,0.27079609806640886,,
V5937/23-24,ABI2325937,0.277368277424437,,
V6333/23-24,ABI2326333,0.27716783186356275,,
V6398/23-24,ABI2326398,0.27128800193537733,,
V6399/23-24,ABI2326399,0.2693213532717949,,
V6614/23-24,2216614,0.29834069413061926,,
V6670/23-24,2216670,0.28924705555751185,,
5114106445,5114106954,0.5347519365934953,,
5114107034,5114107153,0.563311516903455,,
5114107224,5114107253,0.674506421155375,,
5114106739,2206739,0.560151725932381,,
5114106758,2206758,0.5611867554321137,,
JP/232400001,2210001,0.48071131562848674,,
JP/222300006,2210006,0.5263760601799243,,
JP/222300007,2210007,0.5233934120194057,,
JP/222300008,10008,0.529153659587223,,
JP/222300009,1101000009,0.5607919500984053,,
JP/222300010,1101000010,0.5131140017846297,,
JP/222300011,2210011,0.4723470402075414,,
JP/222300012,2210012,0.4717794278751271,,
JP/232400027,2200027,0.606432975448288,,
JP/232400029,2200029,0.606888089627912,,
JP/232400036,2200036,0.6173446131340162,,
JP/222300039,2210039,0.47771628229232665,,
JP/222300040,2210040,0.4543456219973066,,
JP/222300041,21-22/20041,0.3999912645315616,,
JP/222300042,21-22/10042,0.3874271498472956,,
JP/222300043,1123000043,0.6512837955974257,,
JP/222300044,2200044,0.627210333612755,,
JP/222300045,2210045,0.47105237963376023,,
JP/222300046,BBE23320046,0.40254880510364893,,
JP/222300047,12IND-3000047,0.41664857445205766,,
JP/222300048,2210048,0.47926570031853494,,
JP/232400051,2210051,0.4652638784272594,,
JP/222300053,2200533,0.3371376275624327,,
JP/232400059,2210059,0.47320644116183547,,
JP/232400060,1136000060,0.4911665237931994,,
JP/232400061,2210061,0.4795533330252847,,
JP/222300067,2067,0.3424407327954587,,
JP/222300068,2210068,0.4886313895397743,,
JP/222300069,2210069,0.5001985350905626,,
JP/222300070,21-22/20070,0.4108848050294333,,
JP/222300071,21-22/20071,0.39806536268271353,,
JP/222300072,21-22/20072,0.41193329630811204,,
JP/222300073,BBE23320073,0.4038918830489821,,
JP/222300074,BBE23320074,0.4110749823436559,,
JP/222300076,BBE23320076,0.40395905095433177,,
JP/232400078,BBE23320078,0.4030176920420043,,
JP/232400098,1124000096,0.39816314142125814,,
JP/232400103,103,0.39061026246468733,,
JP/232400104,104,0.37681588502329505,,
JP/222300112,112,0.39836681180838573,,
JP/222300113,2210113,0.4649917916643654,,
JP/222300114,114,0.3901547644278971,,
JP/222300115,115,0.3840392361201658,,
JP/222300116,2200116,0.6191528817074513,,
JP/222300117,117,0.3862319819850473,,
122/OMPL/JSPL,OMPL/152/19-20,0.19468747270953765,,
JP/222300122,2210122,0.4501199157417583,,
JP/222300123,1123001232,0.5124249504183992,,
JP/222300124,2210124,0.4438779026500972,,
JP/232400125,2210125,0.4471251847623341,,
JP/232400126,1133000126,0.4663793067591536,,
JP/232400133,2210133,0.4455314781698043,,
JP/232400136,2230136,0.48081864700534555,,
JP/232400137,2210137,0.4596710677333305,,
JP/232400155,2210155,0.4536496316081217,,
JP/232400156,2210156,0.46408560337847954,,
JP/222300164,164,0.4001030328953356,,
JP/222300165,165,0.4034063123631169,,
JP/232400166,166,0.3846345523157431,,
JP/222300167,167,0.39664943090407884,,
JP/232400168,0168,0.47946889388548064,,
JP/222300170,170,0.4070774515166906,,
JP/222300172,172,0.4069784210558892,,
JP/222300173,173,0.3995600467953898,,
JP/232400186,186,0.3931440232556334,,
JP/222300190,T11910000190,0.3989094724733173,,
JP/232400191,T11910000191,0.434536174336248,,
JP/222300192,192,0.4107130393318382,,
JP/222300193,193,0.4053384292001716,,
JP/222300194,194,0.38709633452653597,,
JP/232400195,195,0.3864689490555793,,
JP/222300196,196,0.4017789881976896,,
JP/222300197,197,0.403659721049924,,
JP/22230198,BBL22220198,0.43612894486900766,,
JP/222300201,2201,0.3738309043377585,,
JP/222300202,2202,0.3976860638842576,,
JP/222300210,210,0.3794781787594169,,
JP/232400212,2212,0.3805314813522175,,
JP/232400213,2213,0.37570956830839763,,
JP/222300215,BBA2300214,0.36858630466878667,,
JP/232400216,216,0.3638284878680709,,
JP/222300222,222,0.43757370173674126,,
JP/222300223,2220223,0.5068443160958915,,
JP/222300224,2220224,0.49008175465264725,,
JP/222300225,225,0.37648911130913254,,
JP/222300226,2226,0.42369826799773447,,
JP/222300227,2227,0.43625248271195494,,
JP/222300228,228,0.38408333979406856,,
JP/222300229,2229,0.4311278984425423,,
JP/222300230,2230,0.5034092578367174,,
JP/222300231,2231,0.3918605653290351,,
JP/232400236,236,0.3794141223385539,,
JP/232400237,237,0.3739459433954013,,
JP/232400239,2239,0.37930174461541116,,
JP/232400257,BBL23420257,0.37277231804345856,,
JP/222300258,2258,0.3459297339917469,,
JP/222300259,259,0.35844074665544756,,
JP/232400261,2220261,0.48677455428944405,,
JP/222300264,2220264,0.5092667212847852,,
JP/222300265,2220265,0.5242059360701501,,
JP/222300266,2220266,0.5409110847322393,,
JP/222300267,BBL23420267,0.38499494956810426,,
JP/222300268,BBL23420268,0.3671918248110807,,
JP/222300269,BBL22220269,0.4217915212210108,,
JP/222300270,270,0.3655515370536364,,
JP/232400272,0272,0.515635502991057,,
JP/232400278,278,0.38011469769231626,,
JP/232400279,279,0.3759185314706739,,
JP/232400285,285,0.35118085736019,,
JP/232400289,289,0.3475486637756052,,
JP/222300290,290,0.3670628202586798,,
JP/222300291,T11910000291,0.4339366519382527,,
JP/232400292,292,0.36798400681150834,,
JP/222300298,298,0.3889314081215383,,
JP/222300299,299,0.35867310288361176,,
JP/222300308,2220308,0.5436048946509315,,
JP/222300309,BBA2300309,0.6981722284194795,,
JP/222300313,2220313,0.5144233931550289,,
JP/222300314,2220314,0.5160537641680076,,
JP/222300315,2220315,0.5318271964607949,,
JP/232400320,2220320,0.46105091770195944,,
JP/232400321,2220321,0.4726802201547498,,
JP/232400322,2220322,0.49252224133636263,,
JP/222300328,BBK22210328,0.3558166539669544,,
JP/222300329,2329,0.3398266286467923,,
JP/222300339,2203339,0.36141603481010204,,
JP/222300340,2340,0.3347503488740715,,
JP/222300345,2220345,0.5306338289259515,,
JP/222300351,2220351,0.5418269058533353,,
JP/222300352,2220352,0.5376962896289667,,
JP/222300353,2220353,0.546371786912356,,
JP/222300354,2220354,0.5432769254405243,,
JP/222300355,2220355,0.5492057730619747,,
JP/232400374,374,0.35809426186767396,,
JP/232400375,375,0.36047209290285454,,
JP/232400376,BBK22210376,0.3821208809407287,,
JP/222300377,377,0.35962580843839675,,
JP/222300378,378,0.3572715244146967,,
JP/222300379,379,0.35457428374151584,,
JP/222300380,0380,0.5436585224807774,,
JP/222300381,2200381,0.6323695709130516,,
JP/222300382,2200382,0.6471783429982442,,
JP/222300383,2200383,0.6544557306154086,,
JP/222300384,2200384,0.6526576560144104,,
JP/222300388,2200388,0.6475968455526627,,
JP/222300389,2200389,0.6434726329687893,,
JP/222300396,2200396,0.6459581602687615,,
JP/232400404,2224004,0.4358103137481524,,
JP/222300406,2200406,0.6079888749395103,,
JP/222300407,2200407,0.6128851271732636,,
JP/222300408,2200408,0.6145051584049255,,
JP/222300413,2200413,0.6319336001276729,,
JP/232400414,2200414,0.6133422277836332,,
JP/232400416,2416,0.336999780586571,,
JP/222300419,2200419,0.6433755994040325,,
JP/222300420,420,0.2998917621470528,,
JP/222300421,421,0.33585218972151487,,
JP/222300424,2200424,0.6193773095161048,,
JP/222300428,2200428,0.6390681566655189,,
JP/222300429,2200429,0.6437846844995068,,
JP/222300430,2200430,0.6416298862649916,,
JP/222300431,2200431,0.6379670951054945,,
JP/222300432,1432,0.3233972827758951,,
JP/222300433,2204333,0.39005775026370965,,
JP/232400434,1434,0.3535894032927153,,
JP/232400436,1436,0.36374513347659015,,
JP/222300437,437,0.3529835213805444,,
JP/222300438,2200438,0.6267721516436774,,
JP/222300439,439,0.3546223397936246,,
